	<yagoTheme_infoboxTermsToBeRedirected_de>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"	
	<de/Americium>	<infobox/de/isotope>	"242-##-##"^^xsd:date	242.0000
	<de/Americium>	<infobox/de/isotope>	"665-##-##"^^xsd:date	665.0000
	<de/Americium>	<infobox/de/isotope>	"751-##-##"^^xsd:date	751.0000
	<de/Americium>	<infobox/de/isotope>	"141-##-##"^^xsd:date	141.0000
	<de/Americium>	<infobox/de/isotope>	"637-##-##"^^xsd:date	637.0000
	<de/Americium>	<infobox/de/isotope>	"788-##-##"^^xsd:date	788.0000
	<de/Americium>	<infobox/de/isotope>	"243-##-##"^^xsd:date	243.0000
	<de/Americium>	<infobox/de/isotope>	"438-##-##"^^xsd:date	438.0000
	<de/Americium>	<infobox/de/isotope>	"244-##-##"^^xsd:date	244.0000
	<de/Americium>	<infobox/de/kristallstruktur>	<de/Hexagonales_Kristallsystem>	
	<de/Americium>	<infobox/de/kristallstruktur>	"hexagonal"	
	<de/Americium>	<infobox/de/magnetismus>	<de/Paramagnetismus>	
	<de/Americium>	<infobox/de/magnetismus>	<de/Magnetische_Suszeptibilität>	
	<de/Americium>	<infobox/de/magnetismus>	"7.1"^^xsd:decimal	7.1
	<de/Americium>	<infobox/de/magnetismus>	"10"^^xsd:integer	10
	<de/Americium>	<infobox/de/magnetismus>	"4"^^xsd:integer	4
	<de/Americium>	<infobox/de/magnetismus>	"paramagnetisch"	
	<de/Americium>	<infobox/de/massenzahl>	"243"^^xsd:integer	243
	<de/Americium>	<infobox/de/massenzahl>	"243"	
	<de/Americium>	<infobox/de/massenzahl>	"243-##-##"^^xsd:date	243.0000
	<de/Americium>	<infobox/de/molaresvolumen>	"1778"^^xsd:integer	1778
	<de/Americium>	<infobox/de/molaresvolumen>	"10"^^xsd:integer	10
	<de/Americium>	<infobox/de/molaresvolumen>	"5"^^xsd:integer	5
	<de/Americium>	<infobox/de/molaresvolumen>	"778-##-##"^^xsd:date	778.0000
	<de/Americium>	<infobox/de/name>	"Americium"	
	<de/Americium>	<infobox/de/normalpotential>	<de/Volt>	
	<de/Americium>	<infobox/de/normalpotential>	"2070"^^xsd:integer	2070
	<de/Americium>	<infobox/de/normalpotential>	"3"^^xsd:integer	3
	<de/Americium>	<infobox/de/normalpotential>	"V"	
	<de/Americium>	<infobox/de/ordnungszahl>	"95"^^xsd:integer	95
	<de/Americium>	<infobox/de/ordnungszahl>	"95"	
	<de/Americium>	<infobox/de/oxidationszustände>	"2"^^xsd:integer	2
	<de/Americium>	<infobox/de/oxidationszustände>	"3"^^xsd:integer	3
	<de/Americium>	<infobox/de/oxidationszustände>	"4"^^xsd:integer	4
	<de/Americium>	<infobox/de/oxidationszustände>	"5"^^xsd:integer	5
	<de/Americium>	<infobox/de/oxidationszustände>	"6"^^xsd:integer	6
	<de/Americium>	<infobox/de/oxidationszustände>	"7"^^xsd:integer	7
	<de/Americium>	<infobox/de/periode>	"7"^^xsd:integer	7
	<de/Americium>	<infobox/de/quellegefstkz>	"NV"	
	<de/Americium>	<infobox/de/quelleghskz>	"NV"	
	<de/Americium>	<infobox/de/radioaktiv>	"Ja"	
	<de/Americium>	<infobox/de/reftempelektrischeleitfähigkeitk>	"293.15"^^xsd:decimal	293.15
	<de/Americium>	<infobox/de/reftempelektrischeleitfähigkeitk>	"293-##-##"^^xsd:date	293.0000
	<de/Americium>	<infobox/de/reftempwärmeleitfähigkeitk>	"300"^^xsd:integer	300
	<de/Americium>	<infobox/de/reftempwärmeleitfähigkeitk>	"300"	
	<de/Americium>	<infobox/de/reftempwärmeleitfähigkeitk>	"300-##-##"^^xsd:date	300.0000
	<de/Americium>	<infobox/de/schmelzpunktc>	"1176"^^xsd:integer	1176
	<de/Americium>	<infobox/de/schmelzpunktc>	"1176"	
	<de/Americium>	<infobox/de/schmelzpunktc>	"1176-##-##"^^xsd:date	1176.0000
	<de/Americium>	<infobox/de/schmelzpunktk>	"1449"^^xsd:integer	1449
	<de/Americium>	<infobox/de/schmelzpunktk>	"1449"	
	<de/Americium>	<infobox/de/schmelzpunktk>	"1449-##-##"^^xsd:date	1449.0000
	<de/Americium>	<infobox/de/schmelzwärme>	"14.4"^^xsd:decimal	14.4
	<de/Americium>	<infobox/de/serie>	"Ac"	
	<de/Americium>	<infobox/de/siedepunktc>	"2607"^^xsd:integer	2607
	<de/Americium>	<infobox/de/siedepunktc>	"2607"	
	<de/Americium>	<infobox/de/siedepunktc>	"2607-##-##"^^xsd:date	2607.0000
	<de/Americium>	<infobox/de/siedepunktk>	"2880"^^xsd:integer	2880
	<de/Americium>	<infobox/de/siedepunktk>	"2880 K"	
	<de/Americium>	<infobox/de/siedepunktk>	"2880-##-##"^^xsd:date	2880.0000
	<de/Americium>	<infobox/de/spezifischewärmekapazität>	"0.11"^^xsd:decimal	0.11
	<de/Americium>	<infobox/de/symbol>	"Am"	
	<de/Americium>	<infobox/de/vanderwaalsradius>	"228.5"^^xsd:decimal	228.5
	<de/Americium>	<infobox/de/vanderwaalsradius>	"228-##-##"^^xsd:date	228.0000
	<de/Americium>	<infobox/de/verdampfungswärme>	"238.5"^^xsd:decimal	238.5
	<de/Americium>	<infobox/de/verdampfungswärme>	"238-##-##"^^xsd:date	238.0000
	<de/Americium>	<infobox/de/wärmeleitfähigkeit>	"10"^^xsd:integer	10
	<de/Americium>	<infobox/de/wärmeleitfähigkeit>	"10"	
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"1"^^xsd:integer	1
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"23"^^xsd:integer	23
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"31"^^xsd:integer	31
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"34"^^xsd:integer	34
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"17"^^xsd:integer	17
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"35"^^xsd:integer	35
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"46"^^xsd:integer	46
	<de/Alexander_der_Große>	<infobox/de/eigenname>	"21"^^xsd:integer	21
	<de/Alexander_der_Große>	<infobox/de/eigennameerklärung>	"Alexandros"	
	<de/Alexander_der_Große>	<infobox/de/eigennameerklärung>	"Alksjndrs"	
	<de/Alexander_der_Große>	<infobox/de/horusname>	"20"^^xsd:integer	20
	<de/Alexander_der_Große>	<infobox/de/horusname>	"31"^^xsd:integer	31
	<de/Alexander_der_Große>	<infobox/de/horusname>	"6"^^xsd:integer	6
	<de/Alexander_der_Große>	<infobox/de/horusname>	"49"^^xsd:integer	49
	<de/Alexander_der_Große>	<infobox/de/horusnameerklärung>	<de/Beschützer_Ägyptens>	
	<de/Alexander_der_Große>	<infobox/de/horusnameerklärung>	"Beschützer Ägyptens"	
	<de/Alexander_der_Große>	<infobox/de/thronname>	"12"^^xsd:integer	12
	<de/Alexander_der_Große>	<infobox/de/thronname>	"1"^^xsd:integer	1
	<de/Alexander_der_Große>	<infobox/de/thronname>	"21"^^xsd:integer	21
	<de/Alexander_der_Große>	<infobox/de/thronname>	"35"^^xsd:integer	35
	<de/Alexander_der_Große>	<infobox/de/thronname>	"36"^^xsd:integer	36
	<de/Alexander_der_Große>	<infobox/de/titel>	<de/Ägyptische_Namen_Alexanders_des_Großen>	
	<de/Alexander_der_Große>	<infobox/de/titel>	"Ägyptische Namen Alexanders des Großen"	
	<de/Ångström_(Einheit)>	<infobox/de/abgeleitetvon>	<de/Atom>	
	<de/Ångström_(Einheit)>	<infobox/de/abgeleitetvon>	"Atom"	
	<de/Ångström_(Einheit)>	<infobox/de/benanntnach>	<de/Anders_Jonas_Ångström>	
	<de/Ångström_(Einheit)>	<infobox/de/benanntnach>	"Anders Jonas Ångström"	
	<de/Ångström_(Einheit)>	<infobox/de/name>	"Ångström"	
	<de/Ångström_(Einheit)>	<infobox/de/physgröße>	<de/Länge_(Physik)>	
	<de/Ångström_(Einheit)>	<infobox/de/physgröße>	"Länge"	
	<de/Ångström_(Einheit)>	<infobox/de/si>	"1"^^xsd:integer	1
	<de/Ångström_(Einheit)>	<infobox/de/si>	"10"^^xsd:integer	10
	<de/Ångström_(Einheit)>	<infobox/de/si>	"-10"^^xsd:integer	-10
	<de/Ångström_(Einheit)>	<infobox/de/si>	"100"^^xsd:integer	100
	<de/Ångström_(Einheit)>	<infobox/de/si>	"100-##-##"^^xsd:date	100.0000
	<de/Ampere>	<infobox/de/benanntnach>	<de/André-Marie_Ampère>	
	<de/Ampere>	<infobox/de/benanntnach>	"André-Marie Ampère"	
	<de/Ampere>	<infobox/de/name>	"Ampere"	
	<de/Ampere>	<infobox/de/norm>	"SI-Basiseinheit"	
	<de/Ampere>	<infobox/de/physgröße>	<de/Stromstärke>	
	<de/Ampere>	<infobox/de/physgröße>	<de/Durchflutung>	
	<de/Ampere>	<infobox/de/physgröße>	"Stromstärke"	
	<de/Ampere>	<infobox/de/physgröße>	"magnetische Durchflutung"	
	<de/Ar_(Einheit)>	<infobox/de/abgeleitetvon>	<de/Quadratmeter>	
	<de/Ar_(Einheit)>	<infobox/de/abgeleitetvon>	"Quadratmeter"	
	<de/Ar_(Einheit)>	<infobox/de/dimension>	"2"^^xsd:integer	2
	<de/Ar_(Einheit)>	<infobox/de/norm>	"GESETZ"	
	<de/Ar_(Einheit)>	<infobox/de/physgröße>	<de/Flächeninhalt>	
	<de/Ar_(Einheit)>	<infobox/de/physgröße>	"Flächeninhalt"	
	<de/Ar_(Einheit)>	<infobox/de/si>	"1"^^xsd:integer	1
	<de/Ar_(Einheit)>	<infobox/de/si>	"100"^^xsd:integer	100
	<de/Ar_(Einheit)>	<infobox/de/si>	"100-##-##"^^xsd:date	100.0000
	<de/Ar_(Einheit)>	<infobox/de/sieheauch>	<de/Hektar>	
	<de/Ar_(Einheit)>	<infobox/de/sieheauch>	"Hektar"	
	<de/Atomare_Masseneinheit>	<infobox/de/name>	<de/Atomare_Masseneinheit>	
	<de/Atomare_Masseneinheit>	<infobox/de/name>	"Atomare Masseneinheit"	
	<de/Atomare_Masseneinheit>	<infobox/de/physgröße>	<de/Masse_(Physik)>	
	<de/Atomare_Masseneinheit>	<infobox/de/physgröße>	"Masse"	
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"1"^^xsd:integer	1
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"660"^^xsd:integer	660
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"538"^^xsd:integer	538
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"921"^^xsd:integer	921
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"73"^^xsd:integer	73
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"10"^^xsd:integer	10
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"-27"^^xsd:integer	-27
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"660-##-##"^^xsd:date	660.0000
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"538-##-##"^^xsd:date	538.0000
	<de/Atomare_Masseneinheit>	<infobox/de/si>	"921-##-##"^^xsd:date	921.0000
	<de/Astana>	<infobox/de/akim>	<de/Imanghali_Tasmaghambetow>	
	<de/Astana>	<infobox/de/akim>	"Imanghali Tasmaghambetow"	
	<de/Astana>	<infobox/de/akimstand>	"2008"^^xsd:integer	2008
	<de/Astana>	<infobox/de/akimstand>	"2008"	
	<de/Astana>	<infobox/de/akimstand>	"2008-##-##"^^xsd:date	2008.0000
	<de/Astana>	<infobox/de/einwohner>	"780880"^^xsd:integer	780880
	<de/Astana>	<infobox/de/einwohner>	"780880"	
	<de/Astana>	<infobox/de/einwohnerdatenref>	<de/Microsoft_Excel>	
	<de/Astana>	<infobox/de/einwohnerdatenref>	"2012"^^xsd:integer	2012
	<de/Astana>	<infobox/de/einwohnerdatenref>	"2013"^^xsd:integer	2013
	<de/Astana>	<infobox/de/einwohnerdatenref>	"0"^^<%>	0
	<de/Astana>	<infobox/de/einwohnerdatenref>	"1"^^<%>	1
	<de/Astana>	<infobox/de/einwohnerdatenref>	"80"^^<%>	80
	<de/Astana>	<infobox/de/einwohnerdatenref>	"82"^^xsd:integer	82
	<de/Astana>	<infobox/de/einwohnerdatenref>	"1"^^xsd:integer	1
	<de/Astana>	<infobox/de/einwohnerdatenref>	"2012"^^<%>	2012
	<de/Astana>	<infobox/de/einwohnerdatenref>	"-14"^^xsd:integer	-14
	<de/Astana>	<infobox/de/einwohnerdatenref>	"-5"^^xsd:integer	-5
	<de/Astana>	<infobox/de/einwohnerdatenref>	"9"^^xsd:integer	9
	<de/Astana>	<infobox/de/einwohnerdatenref>	"56"^^xsd:integer	56
	<de/Astana>	<infobox/de/einwohnerdatenref>	"2012-##-##"^^xsd:date	2012.0000
	<de/Astana>	<infobox/de/einwohnerdatenref>	"2013-##-##"^^xsd:date	2013.0000
	<de/Astana>	<infobox/de/einwohnerdatenref>	<http://www.stat.kz/digital/naselsenie/2012/2013/>	
	<de/Astana>	<infobox/de/einwohnerstand>	"1"^^xsd:integer	1
	<de/Astana>	<infobox/de/einwohnerstand>	"2013"^^xsd:integer	2013
	<de/Astana>	<infobox/de/einwohnerstand>	"2013-##-##"^^xsd:date	2013.0000
	<de/Astana>	<infobox/de/fläche>	"710"^^xsd:integer	710
	<de/Astana>	<infobox/de/fläche>	"710"	
	<de/Astana>	<infobox/de/fläche>	"710-##-##"^^xsd:date	710.0000
	<de/Astana>	<infobox/de/gebiet>	"AST"	
	<de/Astana>	<infobox/de/gegründet>	"1830"^^xsd:integer	1830
	<de/Astana>	<infobox/de/gegründet>	"1830"	
	<de/Astana>	<infobox/de/gegründet>	"1830-##-##"^^xsd:date	1830.0000
	<de/Astana>	<infobox/de/gemeindeart>	<de/Stadt_mit_Sonderstatus>	
	<de/Astana>	<infobox/de/gemeindeart>	"Stadt mit Sonderstatus"	
	<de/Astana>	<infobox/de/höhe>	"338"^^xsd:integer	338
	<de/Astana>	<infobox/de/höhe>	"338"	
	<de/Astana>	<infobox/de/höhe>	"338-##-##"^^xsd:date	338.0000
	<de/Astana>	<infobox/de/kfzkennzeichen>	"1"^^xsd:integer	1
	<de/Astana>	<infobox/de/latdeg>	"51"^^xsd:integer	51
	<de/Astana>	<infobox/de/latdeg>	"51"	
	<de/Astana>	<infobox/de/latmin>	"10"^^xsd:integer	10
	<de/Astana>	<infobox/de/latmin>	"10"	
	<de/Astana>	<infobox/de/latsec>	"0"^^xsd:integer	0
	<de/Astana>	<infobox/de/londeg>	"71"^^xsd:integer	71
	<de/Astana>	<infobox/de/londeg>	"71"	
	<de/Astana>	<infobox/de/lonmin>	"25"^^xsd:integer	25
	<de/Astana>	<infobox/de/lonmin>	"25"	
	<de/Astana>	<infobox/de/lonsec>	"0"^^xsd:integer	0
	<de/Astana>	<infobox/de/namekyrillisch>	"Астана"	
	<de/Astana>	<infobox/de/postleitzahl>	"10000"^^xsd:integer	10000
	<de/Astana>	<infobox/de/postleitzahl>	"-10015"^^xsd:integer	-10015
	<de/Astana>	<infobox/de/telefonvorwahl>	"7172"^^xsd:integer	7172
	<de/Astana>	<infobox/de/telefonvorwahl>	"7172"	
	<de/Astana>	<infobox/de/webpräsenz>	<http://www.astana.kz>	
	<de/Astana>	<infobox/de/zeitzone>	<de/East_Kazakhstan_Standard_Time>	
	<de/Astana>	<infobox/de/zeitzone>	"6"^^xsd:integer	6
	<de/Astana>	<infobox/de/zeitzone>	"EKST"	
	<de/Ankara>	<infobox/de/breitengrad>	"39"^^xsd:integer	39
	<de/Ankara>	<infobox/de/breitengrad>	"55"^^xsd:integer	55
	<de/Ankara>	<infobox/de/bürgermeister>	<de/Melih_Gökçek>	
	<de/Ankara>	<infobox/de/bürgermeister>	"Melih Gökçek"	
	<de/Ankara>	<infobox/de/bürgermeisterstand>	"2011"^^xsd:integer	2011
	<de/Ankara>	<infobox/de/bürgermeisterstand>	"2011"	
	<de/Ankara>	<infobox/de/bürgermeisterstand>	"2011-##-##"^^xsd:date	2011.0000
	<de/Ankara>	<infobox/de/einwohnerort>	"4630735"^^xsd:integer	4630735
	<de/Ankara>	<infobox/de/einwohnerort>	"4630735"	
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"2"^^xsd:integer	2
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"1"^^xsd:integer	1
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"6"^^xsd:integer	6
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"2012"^^xsd:integer	2012
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"28"^^xsd:integer	28
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"2013"^^xsd:integer	2013
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"2012-##-##"^^xsd:date	2012.0000
	<de/Ankara>	<infobox/de/einwohnerortquelle>	"2013-##-##"^^xsd:date	2013.0000
	<de/Ankara>	<infobox/de/einwohnerortquelle>	<http://rapor.tuik.gov.tr/reports/rwservlet>	
	<de/Ankara>	<infobox/de/einwohnerortstand>	"2012"^^xsd:integer	2012
	<de/Ankara>	<infobox/de/einwohnerortstand>	"2012"	
	<de/Ankara>	<infobox/de/einwohnerortstand>	"2012-##-##"^^xsd:date	2012.0000
	<de/Ankara>	<infobox/de/flächeort>	"2498"^^xsd:integer	2498
	<de/Ankara>	<infobox/de/flächeort>	"2498"	
	<de/Ankara>	<infobox/de/flächeort>	"2498-##-##"^^xsd:date	2498.0000
	<de/Ankara>	<infobox/de/höhe>	"938"^^xsd:integer	938
	<de/Ankara>	<infobox/de/höhe>	"938"	
	<de/Ankara>	<infobox/de/höhe>	"938-##-##"^^xsd:date	938.0000
	<de/Ankara>	<infobox/de/längengrad>	"32"^^xsd:integer	32
	<de/Ankara>	<infobox/de/längengrad>	"51"^^xsd:integer	51
	<de/Ankara>	<infobox/de/partei>	"AKP"	
	<de/Ankara>	<infobox/de/provinz>	"Ankara"	
	<de/Ankara>	<infobox/de/webpräsenz>	<http://www.ankara.bel.tr>	
	<de/Afghanistan>	<infobox/de/amtssprache>	<de/Paschtunische_Sprache>	
	<de/Afghanistan>	<infobox/de/amtssprache>	"Paschtu"	
	<de/Afghanistan>	<infobox/de/amtssprache>	"Dari"	
	<de/Afghanistan>	<infobox/de/artikelflagge>	<de/Flagge_Afghanistans>	
	<de/Afghanistan>	<infobox/de/artikelflagge>	"Flagge Afghanistans"	
	<de/Afghanistan>	<infobox/de/artikelwappen>	<de/Wappen_Afghanistans>	
	<de/Afghanistan>	<infobox/de/artikelwappen>	"Wappen Afghanistans"	
	<de/Afghanistan>	<infobox/de/bevdichte>	"45.7"^^xsd:decimal	45.7
	<de/Afghanistan>	<infobox/de/bevzunahme>	"3.49"^^<%>	3.49
	<de/Afghanistan>	<infobox/de/bildlageimagemap>	"1"^^xsd:integer	1
	<de/Afghanistan>	<infobox/de/bildwappenbreite>	"104"^^<px>	104
	<de/Afghanistan>	<infobox/de/bildwappenbreite>	"104px"	
	<de/Afghanistan>	<infobox/de/bip>	"2010"^^xsd:integer	2010
	<de/Afghanistan>	<infobox/de/bip>	"15.61"^^xsd:decimal	15.61
	<de/Afghanistan>	<infobox/de/bip>	"27.36"^^xsd:decimal	27.36
	<de/Afghanistan>	<infobox/de/bip>	"500"^^xsd:integer	500
	<de/Afghanistan>	<infobox/de/bip>	"900"^^xsd:integer	900
	<de/Afghanistan>	<infobox/de/bip>	"2010"	
	<de/Afghanistan>	<infobox/de/bip>	"2010-##-##"^^xsd:date	2010.0000
	<de/Afghanistan>	<infobox/de/bip>	"500-##-##"^^xsd:date	500.0000
	<de/Afghanistan>	<infobox/de/bip>	"900-##-##"^^xsd:date	900.0000
	<de/Afghanistan>	<infobox/de/biperweitert>	<de/Kaufkraftparität>	
	<de/Afghanistan>	<infobox/de/einwohner>	"29.8"^^xsd:decimal	29.8
	<de/Afghanistan>	<infobox/de/fläche>	"652.230"^^xsd:decimal	652.230
	<de/Afghanistan>	<infobox/de/fläche>	"652-##-##"^^xsd:date	652.0000
	<de/Afghanistan>	<infobox/de/fläche>	"230-##-##"^^xsd:date	230.0000
	<de/Afghanistan>	<infobox/de/gründung>	<de/Durrani-Reich>	
	<de/Afghanistan>	<infobox/de/gründung>	"1747"^^xsd:integer	1747
	<de/Afghanistan>	<infobox/de/gründung>	"1747"	
	<de/Afghanistan>	<infobox/de/gründung>	"1747-##-##"^^xsd:date	1747.0000
	<de/Afghanistan>	<infobox/de/hauptstadt>	<de/Kabul>	
	<de/Afghanistan>	<infobox/de/hauptstadt>	"Kabul"	
	<de/Afghanistan>	<infobox/de/hdi>	"398"^^xsd:integer	398
	<de/Afghanistan>	<infobox/de/hdi>	"398-##-##"^^xsd:date	398.0000
	<de/Afghanistan>	<infobox/de/internettld>	<de/.af>	
	<de/Afghanistan>	<infobox/de/internettld>	".af"	
	<de/Afghanistan>	<infobox/de/iso>	"3166"^^xsd:integer	3166
	<de/Afghanistan>	<infobox/de/iso>	"-2"^^xsd:integer	-2
	<de/Afghanistan>	<infobox/de/iso>	"4"^^xsd:integer	4
	<de/Afghanistan>	<infobox/de/iso>	"AF"	
	<de/Afghanistan>	<infobox/de/kfzkennzeichen>	<de/Kfz-Kennzeichen_(Afghanistan)>	
	<de/Afghanistan>	<infobox/de/kfzkennzeichen>	"AFG"	
	<de/Afghanistan>	<infobox/de/nameamtssprache>	<de/د_افغانستان_اسلامي_جمهوریت>	
	<de/Afghanistan>	<infobox/de/nameamtssprache>	<de/Da_Afġānistān_Islāmī_Jomhoriyat>	
	<de/Afghanistan>	<infobox/de/nameamtssprache>	<de/جمهوری_اسلامی_افغانستان>	
	<de/Afghanistan>	<infobox/de/nameamtssprache>	"د افغانستان اسلامي جمهوریت"	
	<de/Afghanistan>	<infobox/de/nameamtssprache>	"Da Afġānistān Islāmī Jomhoriyat"	
	<de/Afghanistan>	<infobox/de/nameamtssprache>	"جمهوری اسلامی افغانستان"	
	<de/Afghanistan>	<infobox/de/namedeutsch>	<de/Islamische_Republik_Afghanistan>	
	<de/Afghanistan>	<infobox/de/namedeutsch>	"Islamische Republik Afghanistan"	
	<de/Afghanistan>	<infobox/de/nationalfeiertag>	"19"^^xsd:integer	19
	<de/Afghanistan>	<infobox/de/nationalhymne>	<de/Milli_Tharana>	
	<de/Afghanistan>	<infobox/de/nationalhymne>	"120"^^<px>	120
	<de/Afghanistan>	<infobox/de/nationalhymne>	"Milli Tharana"	
	<de/Afghanistan>	<infobox/de/nationalhymne>	"noicon|120px"	
	<de/Afghanistan>	<infobox/de/regierungssystem>	<de/Präsidentielles_Regierungssystem>	
	<de/Afghanistan>	<infobox/de/regierungssystem>	"Präsidialsystem"	
	<de/Afghanistan>	<infobox/de/staatsform>	<de/Islamische_Republik>	
	<de/Afghanistan>	<infobox/de/staatsform>	"Islamische Republik"	
	<de/Afghanistan>	<infobox/de/staatsoberhaupt>	<de/Hamid_Karzai>	
	<de/Afghanistan>	<infobox/de/staatsoberhaupt>	"Präsident"	
	<de/Afghanistan>	<infobox/de/staatsoberhaupt>	"Hamid Karzai"	
	<de/Afghanistan>	<infobox/de/telefonvorwahl>	"93"^^xsd:integer	93
	<de/Afghanistan>	<infobox/de/unabhängigkeit>	<de/Vereinigtes_Königreich>	
	<de/Afghanistan>	<infobox/de/unabhängigkeit>	"19"^^xsd:integer	19
	<de/Afghanistan>	<infobox/de/unabhängigkeit>	"1919"^^xsd:integer	1919
	<de/Afghanistan>	<infobox/de/unabhängigkeit>	"1919-08-19"^^xsd:date	1919.0819
	<de/Afghanistan>	<infobox/de/wappenopt>	"Emblem"	
	<de/Afghanistan>	<infobox/de/währung>	<de/Afghani>	
	<de/Afghanistan>	<infobox/de/währung>	"1"^^xsd:integer	1
	<de/Afghanistan>	<infobox/de/währung>	"100"^^xsd:integer	100
	<de/Afghanistan>	<infobox/de/währung>	"1"^^<euro>	1
	<de/Afghanistan>	<infobox/de/währung>	"2"^^xsd:integer	2
	<de/Afghanistan>	<infobox/de/währung>	"Afghani"	
	<de/Afghanistan>	<infobox/de/währung>	"100-##-##"^^xsd:date	100.0000
	<de/Afghanistan>	<infobox/de/zeitzone>	<de/Koordinierte_Weltzeit>	
	<de/Afghanistan>	<infobox/de/zeitzone>	"4"^^xsd:integer	4
	<de/Afghanistan>	<infobox/de/zeitzone>	"30"^^xsd:integer	30
	<de/Afghanistan>	<infobox/de/zeitzone>	"UTC"	
	<de/Afghanistan>	<infobox/de/zeitzone>	"+4:30"	
	<de/Alexandria>	<infobox/de/bild>	"2007"^^xsd:integer	2007
	<de/Alexandria>	<infobox/de/bild>	"2007-02-##"^^xsd:date	2007.0200
	<de/Alexandria>	<infobox/de/bildtext>	<de/Hafen_von_Alexandria>	
	<de/Alexandria>	<infobox/de/bildtext>	"Hafen von Alexandria"	
	<de/Alexandria>	<infobox/de/bmtitel>	"Gouverneur"	
	<de/Alexandria>	<infobox/de/breite>	"31"^^xsd:integer	31
	<de/Alexandria>	<infobox/de/breite>	"12"^^xsd:integer	12
	<de/Alexandria>	<infobox/de/breite>	"48.6"^^xsd:decimal	48.6
	<de/Alexandria>	<infobox/de/bürgermeister>	<de/Adel_Labib>	
	<de/Alexandria>	<infobox/de/bürgermeister>	"Adel Labib"	
	<de/Alexandria>	<infobox/de/einwohner>	"4317398"^^xsd:integer	4317398
	<de/Alexandria>	<infobox/de/einwohner>	"4317398"	
	<de/Alexandria>	<infobox/de/gründung>	"-330"^^xsd:integer	-330
	<de/Alexandria>	<infobox/de/gründung>	"330-##-##"^^xsd:date	330.0000
	<de/Alexandria>	<infobox/de/länge>	"29"^^xsd:integer	29
	<de/Alexandria>	<infobox/de/länge>	"55"^^xsd:integer	55
	<de/Alexandria>	<infobox/de/länge>	"39.58"^^xsd:decimal	39.58
	<de/Alexandria>	<infobox/de/meinwohner>	"4545218"^^xsd:integer	4545218
	<de/Alexandria>	<infobox/de/meinwohner>	"4545218"	
	<de/Alexandria>	<infobox/de/mfläche>	"2679"^^xsd:integer	2679
	<de/Alexandria>	<infobox/de/mfläche>	"2679"	
	<de/Alexandria>	<infobox/de/mfläche>	"2679-##-##"^^xsd:date	2679.0000
	<de/Alexandria>	<infobox/de/mstand>	"2009"^^xsd:integer	2009
	<de/Alexandria>	<infobox/de/mstand>	"2009"	
	<de/Alexandria>	<infobox/de/mstand>	"2009-##-##"^^xsd:date	2009.0000
	<de/Alexandria>	<infobox/de/partner>	<de/Türkei>	
	<de/Alexandria>	<infobox/de/partner>	<de/Berlin>	
	<de/Alexandria>	<infobox/de/partner>	"Türkei"	
	<de/Alexandria>	<infobox/de/partner>	"Berlin"	
	<de/Alexandria>	<infobox/de/stand>	"2009"^^xsd:integer	2009
	<de/Alexandria>	<infobox/de/stand>	"2009"	
	<de/Alexandria>	<infobox/de/stand>	"2009-##-##"^^xsd:date	2009.0000
	<de/Alexandria>	<infobox/de/www>	<http://www.alexandriaegypt.com>	
	<de/Asien>	<infobox/de/bevölkerung>	"4"^^xsd:integer	4
	<de/Asien>	<infobox/de/bevölkerungsdichte>	"90"^^xsd:integer	90
	<de/Asien>	<infobox/de/bevölkerungsdichte>	"90"	
	<de/Asien>	<infobox/de/fläche>	"44614500"^^xsd:integer	44614500
	<de/Asien>	<infobox/de/fläche>	"44614500"	
	<de/Asien>	<infobox/de/karteimagemap>	"2"^^xsd:integer	2
	<de/Asien>	<infobox/de/karteimagemap>	"AsienGlobus2"	
	<de/Asien>	<infobox/de/länder>	"47"^^xsd:integer	47
	<de/Asien>	<infobox/de/länder>	"47"	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Indogermanische_Sprachen>	
	<de/Asien>	<infobox/de/sprachfamilien>	<de/Kaukasische_Sprachen>	
